Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Cleaned_Reviews
07-03-2020,Singapore Airlines,False,Family Leisure,Feb-20,Sydney to Singapore,Economy Class,4,4,3,5,5,8,yes,makassar singapore took time checkin since ’ coronavirus concern singapore check passport per page allowed visit even transit singapore ever visit china 14 day little delay boarding flight attendant nice inflight meal taste great singapore bangkok first time using a350900 like aircraft still new fresh inflight meal good boarding time great time
06-03-2020,Singapore Airlines,True,Solo Leisure,Mar-20,Phuket to Singapore,Economy Class,3,3,2,4,4,9,yes,flew economy sydney singapore day flight happy pleasant flight row seat a380 cabin clean look old range entertainment option great 2 meal served vegetarian fine plenty water offered crew polite professional despite news contrary hot towel blanket pillow
02-03-2020,Singapore Airlines,True,Solo Leisure,Mar-20,Ahmedabad to San Francisco via Singapore,Economy Class,5,2,4,5,5,10,yes,phuket singapore unusually fly sq ’ sister company silkair happy fly wide body boeing 777200 offer better product find seat old b777200 comfortable better padded newer plane food crew amazing overall great way fly
28-02-2020,Singapore Airlines,True,Solo Leisure,Feb-20,Singapore to Bangkok,Economy Class,5,5,4,4,3,5,yes,ahmedabad san francisco via singapore overall incabin experience fine however checkin experience ahmedabad airport horrible staff gave hard time baggage took 2 hour standing checkin line three time get boarding pass weighed personal bag made fuss weight 02 kg one bag 03 kg another bag told personal bag happened laptop bag anything else laptop laptop accessory asked scale use distributeadjust weight across luggage piece know bothered find time go bag screening stand long line find still need balance 01 02 kg weight bag going ordeal staff trying sell upgrade business class spite telling mention flew singapore airline sfo ahmedabad jan 27th 2020 similar experience luggage san francisco airport given coronavirus outbreak wish incabin staff mask hand distribute passenger requesting wearing asked one said
27-02-2020,Singapore Airlines,True,Solo Leisure,Feb-20,Los Angeles to Singapore,Business Class,5,1,5,4,4,7,no,singapore bangkok seat plane pretty new seat comfortable food terrible crew friendly lot better economy class crew overall okay
27-02-2020,Singapore Airlines,True,Solo Leisure,Feb-20,Singapore to Zurich,Business Class,4,5,4,5,4,6,no,los angeles singapore 3rd time singapore first time business class seat adjusted flat bed comfortable expected food okay
27-02-2020,Singapore Airlines,False,Business,Feb-20,Singapore to Johannesburg,Economy Class,2,5,2,3,1,1,no,singapore zurich week advance changed several upcoming itinerary blue offer refund compensation one changed itinerary big change really messed travel plan first paid specific itinerary decide change inferior itinerary secondly nonrefundable domestic flight sia longer use new itinerary buy new usd 100 ticket usd 100 pocket customer service nonexisting sia 3 week ago domestic flight sia got rescheduled arrived early mnl went sia counter asked could put 2 hour earlier flight changi flight changi europe would would 5 hour layover changi instead 3 hour sia replied could asked pay change fee declined took original flight might think poor customer service acknowledge full right want charge change fee although interest increase buffer time reduce risk missing connection however changed next itinerary dont hear talking paying change fee ok change provide inferior itinerary price customer
26-02-2020,Singapore Airlines,True,Couple Leisure,Jan-20,Singapore to Los Angeles,Premium Economy,3,5,3,4,4,7,yes,daylight flight singapore johannesburg check boarding usual quick efficient friendly welcome crew preflight drink offered premium economy drink offered take including french champagne tiny plastic tumbler utilized “ book cook ” large range option served economy format nullifies special quality dedicated crew premium economy result approximately hour tray removed drink refill available flight good entertainment system excellent crew came round often water fruit juice second meal served arrival overall good flight excellent hard product excellent economy class service standard expected premium economy singapore airline commit proper premium economy service
25-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Brisbane to Singapore,Premium Economy,4,5,4,1,5,10,yes,singapore los angeles know paid little extra oneway flight totally worth comfortable newest economy seat weve even seen large screen viewer separate reading light bottle water sock toothbrush toothpaste sleeping mask fully reclining foot rest complimentary alcohol premium ice cream etc fly singapore airline whenever future
25-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Singapore to Amsterdam,Economy Class,5,2,1,4,3,4,no,flew airline ’ reputation felt disappointed seat felt crammed narrow aisle hot flight food disgusting
23-02-2020,Singapore Airlines,True,Family Leisure,Dec-19,Los Angeles to Colombo via Singapore,Business Class,5,3,1,3,4,10,yes,singapore amsterdam fantastic airline great food plane quiet skybed came good use slept 8 hour business class greeted name air crew friendly professional upon arrival even got friendly happy new year hug land crew got know flying sq time big heart singapore airline fly
23-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Jakarta to Singapore,Business Class,5,4,5,5,1,3,no,los angeles colombo via singapore business class left jan 27 2020 lax returned feb 21 2020 website told one prebook meal called book cook joke none cabin crew knew anything given generic meal nothing rave complained crew promised would choice return flight happen either website also bragged free wifi cruising altitude able connect 10 min way connect free thing happened logged wife name cabin crew helpless could help told pay get wifi ofcourse cabin crew fantastic best make u feel happy much could travelled frequently singapore airline 10 yr ago switched another airline hong kong regrettably could book due corona scare china seat a350 could reclined 180 degree foot hit front seat curve body fit space bed course flight attendant lower vertical back section fold make bed hardness need curve spine made hard sleep 18 hr lax 15hrs lax sorry singapore airline longer top dog business think twice going
22-02-2020,Singapore Airlines,True,Solo Leisure,Jan-20,Melbourne to Singapore,Economy Class,5,5,3,4,4,9,yes,flew singapore airline jakarta singapore back ’ still great airline fly seat still 9 abreast 777 food great entertainment great ’ limited compared emirate qatar airway still acceptable price expensive bit still worth return flight a350 greater flight overall great flight sq fly
22-02-2020,Singapore Airlines,True,Solo Leisure,Jan-20,Siem Reap to Kolkata via Singapore,Economy Class,4,5,5,4,1,1,no,melbourne singapore check experience worst request aisle seat got window seat cancel russia holiday singapore airline refused give refund
21-02-2020,Singapore Airlines,False,Couple Leisure,Nov-19,Manila to London via Singapore,Economy Class,2,5,4,4,1,1,no,siem reap kolkata via singapore chose singapore heard lot wonderful thing airline experience worse bucketshop airline thought singapore world standard airline siem reap singapore route seat broken table informed way boarding flight suddenly pressurised ground staff although waiting airport near gate hour none ground staff bothered discus matter furthermore table secured sticky tape kept falling lap couple occasion fell watch received shoddy service ground staff singapore kolkata flight paid usd 700 oneway ticket rep ccu shocked downgraded airline filthy seat tv leg space general badly need uplift cap cabin staff offered gift worth sgd 75 plane offer got progressively downgraded mile airline
20-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Los Angeles to Tokyo,Economy Class,3,3,5,4,4,9,yes,manila london via singapore usual singapore airline efficient boarding process using boarding group flight seat 777 comfortable refitted a380 pity seat comfort priority thirteen half hour flight honest old a380 seat comfortable new new look better wonderful attentive service fa flight food served good flight fact supper chicken thigh mashed potato steamed veg gravy a380 exceptionally good economy class sadly breakfast remain poor continue serve awful chicken sausage instead decent pork sausage thing ba better sq egg failure either rubbery omelette scrambled egg sloppy lack flavour notice cost saving measure previously seen sq amenity kit miss longer serving sachet salt pepper meal mistake airline meal generally lack flavour miss black pepper also smaller selection snack galley view still beat competition mainly superior customer service continue use transit experience changi also big positive
13-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Brisbane to Ho Chi Minh via Singapore,Premium Economy,3,5,3,4,2,3,no,los angeles tokyo poor food quality chef stuff preorderedcold multiple time aging aircraft interior insincere flight attendant quirky check weighing backpack blow par flight info management ticketing gate notification
13-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Copenhagen to Denpasar via Singapore,Economy Class,4,4,4,1,5,9,yes,brisbane ho chi minh via singapore personally prefer look ticket singapore airline first airline unless direct flight direct service brisbane ho chi minh excited flight home singapore airline friendly efficient ground service cabin crew among nicest always request food quality gone compared past however drink game offering cocktail liquor economy class thought would enjoy a350900 turned like boeing 78710 better bad flight 78710 short overall singapore airline still remain top choice book flight
10-02-2020,Singapore Airlines,True,Couple Leisure,Feb-20,Jakarta to Seoul Incheon via Singapore,Economy Class,4,5,4,4,2,3,no,copenhagen denpasar via singapore looked forward could go new airbus 350 singapore airline excellent quality reputation however entertainment consisted new movie menu card handed ordered chicken thai curry meat full cartilage rice dried accompanied cold soft sugar tasting roll singapore airline offer maybe cheapest red wine tasted fortunately offered tiger beer although crew carried sparkling wine wagon right since menu card told strange return flight copenhagen entertainment slightly better food beverage far standard get elsewhere like qatar airline experience singapore airline biggest disappointment since long
